name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
149,eGon2035,18,52030,central_heat_pump,201.20696190958913,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,201.20696190958913,,0.0,0.0,0.0,1.0,0.0,,,,,,,
150,eGon2035,18,52030,central_resistive_heater,256.3931190960892,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,256.3931190960892,,0.0,0.0,0.0,1.0,0.0,,,,,,,
151,eGon2035,18,52079,rural_heat_pump,969.0990140397489,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,969.0990140397489,,0.0,0.0,0.0,1.0,0.0,,,,,,,
152,eGon2035,18,69915,BEV_charger,2045.9798462986946,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,2045.9798462986946,,0.0,0.0,0.0,1.0,0.0,,,,,,,
157,eGon2035,18,75170,central_heat_pump,3.2004570918453674,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.2004570918453674,,0.0,0.0,0.0,1.0,0.0,,,,,,,
158,eGon2035,18,75170,central_resistive_heater,0.9127239984671294,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.9127239984671294,,0.0,0.0,0.0,1.0,0.0,,,,,,,
159,eGon2035,18,75180,central_resistive_heater,0.029441936621561922,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.029441936621561922,,0.0,0.0,0.0,1.0,0.0,,,,,,,
160,eGon2035,18,75185,central_heat_pump,7.81931670094522,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,7.81931670094522,,0.0,0.0,0.0,1.0,0.0,,,,,,,
161,eGon2035,18,75185,central_resistive_heater,1.4713502351667949,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.4713502351667949,,0.0,0.0,0.0,1.0,0.0,,,,,,,
162,eGon2035,19,41570,dsm,17.857242910366203,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,17.857242910366203,,0.0,0.0,0.0,1.0,0.0,,,,,,,
164,eGon2035,19,50676,central_resistive_heater,0.18022187055044683,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.18022187055044683,,0.0,0.0,0.0,1.0,0.0,,,,,,,
165,eGon2035,19,50722,central_heat_pump,1.185174184663486,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.185174184663486,,0.0,0.0,0.0,1.0,0.0,,,,,,,
166,eGon2035,19,50722,central_resistive_heater,0.26935029564883317,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.26935029564883317,,0.0,0.0,0.0,1.0,0.0,,,,,,,
167,eGon2035,19,52088,rural_heat_pump,288.4360108216298,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,288.4360108216298,,0.0,0.0,0.0,1.0,0.0,,,,,,,
168,eGon2035,19,70960,BEV_charger,458.44574987888336,False,inf,0.0,0.0,,0.8999999999999999,0.0,0.0,0.0,458.44574987888336,,0.0,0.0,0.0,1.0,0.0,,,,,,,
172,eGon2035,19,75027,central_heat_pump,1.884801913106492,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.884801913106492,,0.0,0.0,0.0,1.0,0.0,,,,,,,
173,eGon2035,19,75027,central_resistive_heater,0.46267660420198126,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.46267660420198126,,0.0,0.0,0.0,1.0,0.0,,,,,,,
174,eGon2035,19,75031,central_heat_pump,1.7169673781498607,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.7169673781498607,,0.0,0.0,0.0,1.0,0.0,,,,,,,
