scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down,p_set,p_max_pu,terrain_factor,committable,ramp_limit_up,ramp_limit_down
eGon2035,34,79157,power_to_O2,0.022,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0267248767513524,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79158,power_to_O2,0.023,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0278301030478501,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79784,power_to_O2,0.014,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0178953133559776,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79785,power_to_O2,0.022,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0267245752191535,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79786,power_to_O2,0.021,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0256192255104289,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79787,power_to_O2,0.015,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0189963755054093,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79788,power_to_O2,0.02,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0245141174241338,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79789,power_to_O2,0.02,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0245140867455222,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79790,power_to_O2,0.021,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0256197203035413,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79791,power_to_O2,0.018,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0223052326384639,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79794,power_to_O2,0.02,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.024514853253419,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,79798,power_to_O2,0.02,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0245142240393891,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
