name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
80005 load shedding,,80005,,load shedding,88785.0,False,1.0,10000.008005192458,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80006 load shedding,,80006,,load shedding,88785.0,False,1.0,10000.011003834925,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80007 load shedding,,80007,,load shedding,88785.0,False,1.0,10000.000498416552,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80008 load shedding,,80008,,load shedding,88785.0,False,1.0,10000.00096134048,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80009 load shedding,,80009,,load shedding,88785.0,False,1.0,10000.007943827768,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80010 load shedding,,80010,,load shedding,88785.0,False,1.0,10000.00100292979,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80011 load shedding,,80011,,load shedding,88785.0,False,1.0,10000.00670033488,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80012 load shedding,,80012,,load shedding,88785.0,False,1.0,10000.006943955575,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80013 load shedding,,80013,,load shedding,88785.0,False,1.0,10000.004496483803,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80014 load shedding,,80014,,load shedding,88785.0,False,1.0,10000.011961280206,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80015 load shedding,,80015,,load shedding,88785.0,False,1.0,10000.002760641233,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80016 load shedding,,80016,,load shedding,88785.0,False,1.0,10000.00346966027,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80017 load shedding,,80017,,load shedding,88785.0,False,1.0,10000.007110965824,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80018 load shedding,,80018,,load shedding,88785.0,False,1.0,10000.016022609749,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80019 load shedding,,80019,,load shedding,88785.0,False,1.0,10000.003533827145,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80020 load shedding,,80020,,load shedding,88785.0,False,1.0,10000.006029796112,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80021 load shedding,,80021,,load shedding,88785.0,False,1.0,10000.018343334184,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80022 load shedding,,80022,,load shedding,88785.0,False,1.0,10000.009003001065,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80023 load shedding,,80023,,load shedding,88785.0,False,1.0,10000.01165016203,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80024 load shedding,,80024,,load shedding,88785.0,False,1.0,10000.010196372754,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80025 load shedding,,80025,,load shedding,88785.0,False,1.0,10000.003115671303,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80026 load shedding,,80026,,load shedding,88785.0,False,1.0,10000.017516025438,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80027 load shedding,,80027,,load shedding,88785.0,False,1.0,10000.003135215027,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80028 load shedding,,80028,,load shedding,88785.0,False,1.0,10000.00968660002,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80029 load shedding,,80029,,load shedding,88785.0,False,1.0,10000.01348168718,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80030 load shedding,,80030,,load shedding,88785.0,False,1.0,10000.006151928565,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80031 load shedding,,80031,,load shedding,88785.0,False,1.0,10000.006393665075,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80032 load shedding,,80032,,load shedding,88785.0,False,1.0,10000.010293215775,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80033 load shedding,,80033,,load shedding,88785.0,False,1.0,10000.007577080572,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80034 load shedding,,80034,,load shedding,88785.0,False,1.0,10000.017173078275,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80035 load shedding,,80035,,load shedding,88785.0,False,1.0,10000.007143395143,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80036 load shedding,,80036,,load shedding,88785.0,False,1.0,10000.014570424108,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80037 load shedding,,80037,,load shedding,88785.0,False,1.0,10000.006415224134,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80038 load shedding,,80038,,load shedding,88785.0,False,1.0,10000.01202305258,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80039 load shedding,,80039,,load shedding,88785.0,False,1.0,10000.003940996152,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80040 load shedding,,80040,,load shedding,88785.0,False,1.0,10000.017929334594,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80041 load shedding,,80041,,load shedding,88785.0,False,1.0,10000.002885519485,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80042 load shedding,,80042,,load shedding,88785.0,False,1.0,10000.005770214271,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80043 load shedding,,80043,,load shedding,88785.0,False,1.0,10000.008316897309,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80044 load shedding,,80044,,load shedding,88785.0,False,1.0,10000.000979769096,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80045 load shedding,,80045,,load shedding,88785.0,False,1.0,10000.00794601436,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80046 load shedding,,80046,,load shedding,88785.0,False,1.0,10000.005161322093,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80047 load shedding,,80047,,load shedding,88785.0,False,1.0,10000.00721105597,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80048 load shedding,,80048,,load shedding,88785.0,False,1.0,10000.001367717565,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80049 load shedding,,80049,,load shedding,88785.0,False,1.0,10000.009598366209,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80050 load shedding,,80050,,load shedding,88785.0,False,1.0,10000.001264617726,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80051 load shedding,,80051,,load shedding,88785.0,False,1.0,10000.01632338168,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80052 load shedding,,80052,,load shedding,88785.0,False,1.0,10000.003589907035,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80053 load shedding,,80053,,load shedding,88785.0,False,1.0,10000.010394359992,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80054 load shedding,,80054,,load shedding,88785.0,False,1.0,10000.002168534675,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80055 load shedding,,80055,,load shedding,88785.0,False,1.0,10000.004712983864,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80056 load shedding,,80056,,load shedding,88785.0,False,1.0,10000.003269248766,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80057 load shedding,,80057,,load shedding,88785.0,False,1.0,10000.002848822518,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80058 load shedding,,80058,,load shedding,88785.0,False,1.0,10000.003527979914,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80059 load shedding,,80059,,load shedding,88785.0,False,1.0,10000.010128554328,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80060 load shedding,,80060,,load shedding,88785.0,False,1.0,10000.004042030349,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80061 load shedding,,80061,,load shedding,88785.0,False,1.0,10000.00383295286,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80062 load shedding,,80062,,load shedding,88785.0,False,1.0,10000.004741573,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80063 load shedding,,80063,,load shedding,88785.0,False,1.0,10000.007677064139,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80064 load shedding,,80064,,load shedding,88785.0,False,1.0,10000.001083569226,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80065 load shedding,,80065,,load shedding,88785.0,False,1.0,10000.003497036956,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80066 load shedding,,80066,,load shedding,88785.0,False,1.0,10000.007264666396,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80067 load shedding,,80067,,load shedding,88785.0,False,1.0,10000.002078876249,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80068 load shedding,,80068,,load shedding,88785.0,False,1.0,10000.018566277859,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80069 load shedding,,80069,,load shedding,88785.0,False,1.0,10000.023776515,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80070 load shedding,,80070,,load shedding,88785.0,False,1.0,10000.00731716762,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
