name,scn_name,bus,carrier,p_set
74047 rural_gas_boiler,eGon2035,74047,rural_gas_boiler,0.0
74048 CH4_for_industry,eGon2035,74048,CH4_for_industry,0.0
74048 rural_gas_boiler,eGon2035,74048,rural_gas_boiler,0.0
74049 CH4_for_industry,eGon2035,74049,CH4_for_industry,0.0
74049 rural_gas_boiler,eGon2035,74049,rural_gas_boiler,0.0
74050 CH4_for_industry,eGon2035,74050,CH4_for_industry,0.0
74050 rural_gas_boiler,eGon2035,74050,rural_gas_boiler,0.0
74051 CH4_for_industry,eGon2035,74051,CH4_for_industry,0.0
74051 rural_gas_boiler,eGon2035,74051,rural_gas_boiler,0.0
74052 CH4_for_industry,eGon2035,74052,CH4_for_industry,0.0
74052 rural_gas_boiler,eGon2035,74052,rural_gas_boiler,0.0
74053 CH4_for_industry,eGon2035,74053,CH4_for_industry,0.0
74053 rural_gas_boiler,eGon2035,74053,rural_gas_boiler,0.0
74054 CH4_for_industry,eGon2035,74054,CH4_for_industry,0.0
74054 rural_gas_boiler,eGon2035,74054,rural_gas_boiler,0.0
74055 CH4_for_industry,eGon2035,74055,CH4_for_industry,0.0
74055 rural_gas_boiler,eGon2035,74055,rural_gas_boiler,0.0
74056 CH4_for_industry,eGon2035,74056,CH4_for_industry,0.0
74056 rural_gas_boiler,eGon2035,74056,rural_gas_boiler,0.0
74057 CH4_for_industry,eGon2035,74057,CH4_for_industry,0.0
74057 rural_gas_boiler,eGon2035,74057,rural_gas_boiler,0.0
74058 CH4_for_industry,eGon2035,74058,CH4_for_industry,0.0
74058 rural_gas_boiler,eGon2035,74058,rural_gas_boiler,0.0
74059 CH4_for_industry,eGon2035,74059,CH4_for_industry,0.0
74059 rural_gas_boiler,eGon2035,74059,rural_gas_boiler,0.0
74060 CH4_for_industry,eGon2035,74060,CH4_for_industry,0.0
74060 rural_gas_boiler,eGon2035,74060,rural_gas_boiler,0.0
74061 CH4_for_industry,eGon2035,74061,CH4_for_industry,0.0
74061 rural_gas_boiler,eGon2035,74061,rural_gas_boiler,0.0
74062 CH4_for_industry,eGon2035,74062,CH4_for_industry,0.0
74062 rural_gas_boiler,eGon2035,74062,rural_gas_boiler,0.0
74063 CH4_for_industry,eGon2035,74063,CH4_for_industry,0.0
74063 rural_gas_boiler,eGon2035,74063,rural_gas_boiler,0.0
74064 CH4_for_industry,eGon2035,74064,CH4_for_industry,0.0
74064 rural_gas_boiler,eGon2035,74064,rural_gas_boiler,0.0
74065 CH4_for_industry,eGon2035,74065,CH4_for_industry,0.0
74065 rural_gas_boiler,eGon2035,74065,rural_gas_boiler,0.0
74066 CH4_for_industry,eGon2035,74066,CH4_for_industry,0.0
74066 rural_gas_boiler,eGon2035,74066,rural_gas_boiler,0.0
74067 CH4_for_industry,eGon2035,74067,CH4_for_industry,0.0
74067 rural_gas_boiler,eGon2035,74067,rural_gas_boiler,0.0
74068 CH4_for_industry,eGon2035,74068,CH4_for_industry,0.0
